OPEID,INSTNM,CITY,STABBR,ZIP,INSTURL,REGION,LOCALE,ADM_RATE,COSTT4_A
00677500,Minnesota North College - Rainy River,International Falls,MN,56649-1501,www.rrcc.mnscu.edu,4,33.0,,13773.0
00237300,Rochester Community and Technical College,Rochester,MN,55904-4999,www.rctc.edu/,4,12.0,,18054.0
00234100,College of Saint Benedict,Saint Joseph,MN,56374,https://csbsju.edu/,4,22.0,0.9179,62812.0
00553400,St Cloud Technical and Community College,Saint Cloud,MN,56303-1240,www.sctcc.edu/,4,13.0,,13053.0
00237700,Saint Cloud State University,Saint Cloud,MN,56301-4498,https://www.stcloudstate.edu/,4,13.0,0.9432,19875.0
00237900,Saint Johns University,Collegeville,MN,56321,https://csbsju.edu/,4,41.0,0.8865,62219.0
00238000,Saint Mary's University of Minnesota,Winona,MN,55987-1399,www.smumn.edu/,4,32.0,0.9779,51410.0
00238200,St Olaf College,Northfield,MN,55057-1098,wp.stolaf.edu/,4,32.0,0.4743,65010.0
00238300,Crown College,Saint Bonifacius,MN,55375-9001,www.crown.edu/,4,41.0,0.6509,42876.0
00234300,The College of Saint Scholastica,Duluth,MN,55811-4199,www.css.edu/,4,13.0,0.7369,51880.0
00234500,University of St Thomas,Saint Paul,MN,55105-1078,www.stthomas.edu/,4,11.0,0.7553,60092.0
01260603,Empire Beauty School-Bloomington,Bloomington,MN,55420-4232,www.empire.edu/,4,13.0,,
00234200,St Catherine University,Saint Paul,MN,55105,https://www.stkate.edu/,4,11.0,0.7489,51940.0
00869400,Rasmussen University-Minnesota,St. Cloud,MN,56301-3713,https://rasmussen.edu/,4,13.0,,24450.0
00553300,Saint Paul College,Saint Paul,MN,55102-9808,https://www.saintpaul.edu/,4,11.0,,17378.0
00237500,Southwest Minnesota State University,Marshall,MN,56258-5468,www.smsu.edu/,4,33.0,0.9103,20989.0
02260500,Summit Academy Opportunities Industrialization Center,Minneapolis,MN,55405,www.saoic.org/,4,11.0,,
00238600,United Theological Seminary of the Twin Cities,St. Paul,MN,55114,www.unitedseminary.edu/,4,11.0,,
00235000,Minnesota North College - Vermilion,Ely,MN,55731-1900,www.vcc.edu,4,33.0,,18113.0
00464100,Dunwoody College of Technology,Minneapolis,MN,55403-1192,www.dunwoody.edu/,4,11.0,0.9904,31909.0
00525200,Ridgewater College,Willmar,MN,56201,www.ridgewater.edu/,4,33.0,,15881.0
00239300,Minnesota State College Southeast,Winona,MN,55987,www.southeastmn.edu/,4,32.0,,20388.0
00239400,Winona State University,Winona,MN,55987-5838,www.winona.edu/,4,32.0,0.7691,22312.0
00239100,Mitchell Hamline School of Law,Saint Paul,MN,55105-3076,www.mitchellhamline.edu/,4,11.0,,
01054600,Century College,White Bear Lake,MN,55110,https://www.century.edu/,4,21.0,,14530.0
00239600,Alcorn State University,Alcorn State,MS,39096-7500,www.alcorn.edu/,5,43.0,0.3891,22940.0
00239700,Belhaven University,Jackson,MS,39202,https://www.belhaven.edu/,5,12.0,0.6402,36113.0
00239800,Blue Mountain Christian University,Blue Mountain,MS,38610,www.bmc.edu/,5,42.0,0.9909,26868.0
02074900,Chris Beauty College,Gulfport,MS,39501,www.chrisbeautycollege.edu/,5,13.0,,
00240100,Coahoma Community College,Clarksdale,MS,38614,www.coahomacc.edu/,5,41.0,,8090.0
00240200,Copiah-Lincoln Community College,Wesson,MS,39191,www.colin.edu/,5,42.0,,10899.0
00240300,Delta State University,Cleveland,MS,38733,https://www.deltastate.edu/,5,33.0,0.9978,21105.0
00240400,East Central Community College,Decatur,MS,39327-0129,https://www.eccc.edu/,5,42.0,,11840.0
00240500,East Mississippi Community College,Scooba,MS,39358-0158,www.eastms.edu/,5,43.0,,12663.0
02251700,Fosters Cosmetology College,Ripley,MS,38663-0066,www.fosters.edu/,5,41.0,,
02244305,Academy of Hair Design-Grenada,Grenada,MS,38901,www.academyofhair.com/grenada-campus,5,41.0,,
00240700,Hinds Community College,Raymond,MS,39154,www.hindscc.edu/,5,31.0,,9560.0
00240800,Holmes Community College,Goodman,MS,39079,www.holmescc.edu/,5,42.0,,12304.0
00240900,Itawamba Community College,Fulton,MS,38843-1099,www.iccms.edu/,5,33.0,,11175.0
00241000,Jackson State University,Jackson,MS,39217,https://www.jsums.edu/,5,12.0,0.6211,24637.0
00241100,Jones County Junior College,Ellisville,MS,39437,www.jcjc.edu/,5,32.0,,10976.0
00241300,Meridian Community College,Meridian,MS,39307-5801,www.meridiancc.edu/,5,33.0,,12094.0
00241400,Millsaps College,Jackson,MS,39210-0001,www.millsaps.edu/,5,12.0,0.6806,57505.0
00241600,Mississippi Delta Community College,Moorhead,MS,38761,https://www.msdelta.edu/,5,33.0,,7796.0
00244000,University of Mississippi,University,MS,38677-1848,www.olemiss.edu/,5,33.0,0.8966,25492.0
00242200,Mississippi University for Women,Columbus,MS,39701,https://www.muw.edu/,5,33.0,0.9929,20480.0
00242400,Mississippi Valley State University,Itta Bena,MS,38941-1400,www.mvsu.edu/,5,33.0,0.7861,20315.0
